article,qid,country_code,total_pageviews
Marlon_Wayans,Q310785,US,214677
Kirstie_Alley,Q151935,US,214383
2020_United_States_presidential_election,Q22923830,US,214246
Snoop_Dogg,Q6096,US,214156
Melissa_McCarthy,Q229048,US,214142
Jon_Scheyer,Q1983483,US,214001
Patrick_Swayze,Q49004,US,213964
Ciryl_Gane,Q79372882,US,213771
David_Bowie,Q5383,US,213691
John_Denver,Q105460,US,213413
Mel_Gibson,Q42229,US,213250
Larsa_Pippen,Q110442394,US,213096
Joseph_Stalin,Q855,US,212975
Jim_Boeheim,Q530705,US,212616
MrBeast,Q57618112,US,212493
Rachel_Zegler,Q61693947,US,212395
Zayn_Malik,Q3626950,US,212309
Chyna,Q466683,US,212049
Marianne_Bachmeier,Q102142,US,211809
Revolution_(2023),Q115297256,US,211791
David_Benavidez,Q35454257,US,211764
Louis-Auguste,Q7732,US,211629
Windows_10_version_history,Q21208917,US,211583
Republic_of_China,Q865,US,211583
Ryan_Garcia,Q47452754,US,211426
John_Wayne,Q40531,US,211405
Chris_Pratt,Q503706,US,211355
List_of_NCAA_Division_I_men's_basketball_champions,Q4435865,US,211147
Simeon_Stylites,Q310987,US,210832
Gmail,Q9334,US,210775
Madonna,Q1744,US,210444
Keri_Russell,Q229426,US,210416
General_Atomics_MQ-9_Reaper,Q816695,US,210306
Freddie_Mercury,Q15869,US,210197
Kamala_Harris,Q10853588,US,210076
Star_Trek:_Picard_(season_3),Q106688644,US,210062
Pi,Q167,US,209790
Pornhub,Q936394,US,209632
Dolly_Parton,Q180453,US,209361
Permanent_time_observation_in_the_United_States,Q65070190,US,209073
Armor_Wars_(film),Q16148930,US,208408
Danny_DeVito,Q26806,US,208359
Kieran_Culkin,Q313204,US,208157
Dakota_Johnson,Q2315802,US,208093
Stackdriver,Q17088889,US,207884
Brett_Goldstein,Q22277167,US,207739
Jason_Segel,Q202304,US,207306
Liam_Hemsworth,Q32045,US,207255
Raquel_Welch,Q229545,US,207198
Tiger_Woods,Q10993,US,207051
A24,Q16248298,US,206990
McArthur_Forest_Fire_Danger_Index,Q17011679,US,206925
Emily_Blunt,Q193517,US,206865
2017_World_Baseball_Classic,Q11187132,US,206107
2022_NCAA_Division_I_Men's_Basketball_Tournament,Q104842567,US,205993
SZA,Q16210722,US,205852
Kevin_Costner,Q11930,US,205423
Breaking_Bad,Q1079,US,205147
List_of_United_States_cities_by_population,Q131079,US,205116
Teenage_Mutant_Ninja_Turtles:_Mutant_Mayhem,Q110271518,US,205114
Ruby_Ridge,Q1604442,US,205066
Marvel_Cinematic_Universe,Q642878,US,205035
Fall_(2022_film),Q113470320,US,204928
Keira_Knightley,Q42581,US,204838
Elizabeth_I,Q7207,US,204725
List_of_NBA_champions,Q2626167,US,204561
Christina_Applegate,Q188280,US,204488
Charlie_Sheen,Q103939,US,204455
Columbine_High_School_massacre,Q473845,US,204099
Lukas_Gage,Q47467699,US,204085
Michelle_Williams_(actress),Q156796,US,203766
Jesus,Q302,US,203495
Chris_Martin,Q712860,US,203180
Tina_Turner,Q131814,US,203127
Perry_Mason_(2020_TV_series),Q60771449,US,203087
Austin_Reaves,Q100909225,US,203011
Bradley_Cooper,Q205707,US,202995
Derek_Carr,Q5261870,US,202963
"Diana,_Princess_of_Wales",Q9685,US,202820
ØµÙØ­ÙÙ_Ø§ØµÙÛ,Q5296,US,202800
Alec_Baldwin,Q170572,US,202623
Steve_Jobs,Q19837,US,202393
Johnny_Depp,Q37175,US,202263
Lenny_Kravitz,Q180224,US,202166
Pete_Maravich,Q316183,US,202150
Mila_Kunis,Q37628,US,202098
Paul_Newman,Q41871,US,201861
Billie_Eilish,Q29564107,US,201850
Valentina_Shevchenko,Q4522047,US,201578
John_Ritter,Q314812,US,201503
Bob_Dylan,Q392,US,201214
Troy_Baker,Q1147551,US,201142
Kaley_Cuoco,Q16759,US,201064
Wu-Tang_Clan,Q52463,US,201015
Jim_Carrey,Q40504,US,200815
Justine_Bateman,Q237817,US,200793
Rory_Culkin,Q431038,US,200696
Ø§ÙØµÙØ­Ø©_Ø§ÙØ±Ø¦ÙØ³ÙØ©,Q5296,US,200354
Purim,Q180115,US,200317
Frank_Sinatra,Q40912,US,200214
Markquis_Nowell,Q100892196,US,199967
Candace_Parker,Q242278,US,199327
Brenda_Song,Q180011,US,199277
Bob_Ross,Q455511,US,199008
X_(2022_film),Q105605250,US,199004
Bo_Nickal,Q86752584,US,198457
Gervonta_Davis,Q24450231,US,198366
Kiefer_Sutherland,Q103946,US,198329
Donnie_Yen,Q311723,US,198321
Kamaru_Usman,Q21290332,US,198308
Josh_Hutcherson,Q217004,US,198059
Wagner_Group,Q36597284,US,197907
Francis_Ngannou,Q23883298,US,197527
Stanley_Tucci,Q223117,US,197470
Sally_Field,Q187033,US,197427
Waco_siege,Q258873,US,197310
Christina_Aguilera,Q41594,US,197266
Kelly_Clarkson,Q483507,US,197198
Howard_Hughes,Q189081,US,197103
Chadwick_Boseman,Q5066520,US,196871
Robert_Redford,Q59215,US,196811
Orlando_Bloom,Q44467,US,196252
Alexander_SkarsgÃ¥rd,Q310637,US,196114
Singapore,Q334,US,196092
Theodore_Roosevelt,Q33866,US,195994
Rob_Lowe,Q296505,US,195822
Nick_Cannon,Q348533,US,195613
Sam_Elliott,Q311314,US,195296
Tom_Selleck,Q213706,US,195068
Viola_Davis,Q229181,US,195016
Blade_(2024_film),Q104643359,US,194955
Donald_Glover,Q1239933,US,194753
Katy_M._O'Brian,Q104112057,US,194691
Larry_Bird,Q190152,US,194641
Ezekiel_Elliott,Q18619019,US,194168
List_of_Batman:_The_Brave_and_the_Bold_episodes,Q435127,US,194058
Elvis,Q303,US,193741
Bert_Kreischer,Q4895172,US,193679
Kelly_Curtis,Q273574,US,193249
District_of_Columbia,Q61,US,192923
Audrey_Hepburn,Q42786,US,192755
Lamar_Jackson,Q24809702,US,192635
Woke,Q28136847,US,192530
Simon_Cowell,Q162629,US,192461
Ed_Sheeran,Q47447,US,192412
A,Q9659,US,192377
Prince_Harry,Q152316,US,191906
